sector_key,sector_name,industry_name,industry_join_name_key,industry_key
basic-materials,Basic Materials,Agricultural Inputs,Agricultural Inputs,agricultural-inputs
basic-materials,Basic Materials,Aluminum,Aluminum,aluminum
basic-materials,Basic Materials,Building Materials,Building Materials,building-materials
basic-materials,Basic Materials,Chemicals,Chemicals,chemicals
basic-materials,Basic Materials,Coking Coal,Coking Coal,coking-coal
basic-materials,Basic Materials,Copper,Copper,copper
basic-materials,Basic Materials,Gold,Gold,gold
basic-materials,Basic Materials,Lumber & Wood Production,Lumber & Wood Production,lumber-wood-production
basic-materials,Basic Materials,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining
basic-materials,Basic Materials,Other Precious Metals & Mining,Other Precious Metals & Mining,other-precious-metals-mining
basic-materials,Basic Materials,Paper & Paper Products,Paper & Paper Products,paper-paper-products
basic-materials,Basic Materials,Silver,Silver,silver
basic-materials,Basic Materials,Specialty Chemicals,Specialty Chemicals,specialty-chemicals
basic-materials,Basic Materials,Steel,Steel,steel
communication-services,Communication Services,Advertising Agencies,Advertising Agencies,advertising-agencies
communication-services,Communication Services,Broadcasting,Broadcasting,broadcasting
communication-services,Communication Services,Electronic Gaming & Multimedia,Electronic Gaming & Multimedia,electronic-gaming-multimedia
communication-services,Communication Services,Entertainment,Entertainment,entertainment
communication-services,Communication Services,Internet Content & Information,Internet Content & Information,internet-content-information
communication-services,Communication Services,Publishing,Publishing,publishing
communication-services,Communication Services,Telecom Services,Telecom Services,telecom-services
consumer-cyclical,Consumer Cyclical,Apparel Manufacturing,Apparel Manufacturing,apparel-manufacturing
consumer-cyclical,Consumer Cyclical,Apparel Retail,Apparel Retail,apparel-retail
consumer-cyclical,Consumer Cyclical,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships
consumer-cyclical,Consumer Cyclical,Auto Manufacturers,Auto Manufacturers,auto-manufacturers
consumer-cyclical,Consumer Cyclical,Auto Parts,Auto Parts,auto-parts
consumer-cyclical,Consumer Cyclical,Department Stores,Department Stores,department-stores
consumer-cyclical,Consumer Cyclical,Footwear & Accessories,Footwear & Accessories,footwear-accessories
consumer-cyclical,Consumer Cyclical,Furnishings,Furnishings,
consumer-cyclical,Consumer Cyclical,Fixtures & Appliances,Fixtures & Appliances,
consumer-cyclical,Consumer Cyclical,Gambling,Gambling,gambling
consumer-cyclical,Consumer Cyclical,Home Improvement Retail,Home Improvement Retail,home-improvement-retail
consumer-cyclical,Consumer Cyclical,Internet Retail,Internet Retail,internet-retail
consumer-cyclical,Consumer Cyclical,Leisure,Leisure,leisure
consumer-cyclical,Consumer Cyclical,Lodging,Lodging,lodging
consumer-cyclical,Consumer Cyclical,Luxury Goods,Luxury Goods,luxury-goods
consumer-cyclical,Consumer Cyclical,Packaging & Containers,Packaging & Containers,packaging-containers
consumer-cyclical,Consumer Cyclical,Personal Services,Personal Services,personal-services
